Date;Humidite;Profondeur
2018-07-31;2,180886;10cm
2018-07-31;2,647165;20cm
2018-07-31;4,249973;30cm
2018-07-31;3,705156;40cm
2018-07-31;2,94276;50cm
2018-07-31;4,02279;60cm
2018-07-31;2,94276;70cm
2018-07-31;3,062722;80cm
2018-07-31;4,998055;90cm
2018-07-31;7,548336;100cm
2018-07-31;9,142272;110cm
2018-07-31;9,968323;120cm
2018-07-31;11,516367;130cm
2018-07-31;10,002174;140cm
2018-07-31;9,66649;150cm
2018-07-31;9,968323;160cm
2018-08-03;12,525623;10cm
2018-08-03;6,814172;20cm
2018-08-03;4,441237;30cm
2018-08-03;4,441237;40cm
2018-08-03;2,925848;50cm
2018-08-03;4,334381;60cm
2018-08-03;2,925848;70cm
2018-08-03;3,185498;80cm
2018-08-03;4,659437;90cm
2018-08-03;7,63573;100cm
2018-08-03;9,699776;110cm
2018-08-03;10,517364;120cm
2018-08-03;11,922108;130cm
2018-08-03;10,138206;140cm
2018-08-03;9,833551;150cm
2018-08-03;10,172359;160cm
2018-08-17;12,071487;10cm
2018-08-17;5,993319;20cm
2018-08-17;6,070171;30cm
2018-08-17;4,313187;40cm
2018-08-17;3,132532;50cm
2018-08-17;4,208138;60cm
2018-08-17;3,08009;70cm
2018-08-17;3,167793;80cm
2018-08-17;5,231364;90cm
2018-08-17;8,111288;100cm
2018-08-17;9,900822;110cm
2018-08-17;10,833179;120cm
2018-08-17;12,221878;130cm
2018-08-17;10,65711;140cm
2018-08-17;10,002174;150cm
2018-08-17;10,240875;160cm
2018-08-23;7,289464;10cm
2018-08-23;7,20429;20cm
2018-08-23;6,51613;30cm
2018-08-23;4,313187;40cm
2018-08-23;3,20327;50cm
2018-08-23;4,208138;60cm
2018-08-23;3,062722;70cm
2018-08-23;3,20327;80cm
2018-08-23;5,278754;90cm
2018-08-23;8,141536;100cm
2018-08-23;9,934546;110cm
2018-08-23;10,6922;120cm
2018-08-23;12,184201;130cm
2018-08-23;10,482592;140cm
2018-08-23;9,900822;150cm
2018-08-23;10,172359;160cm
2018-08-30;20,537905;10cm
2018-08-30;20,587183;20cm
2018-08-30;23,283367;30cm
2018-08-30;18,567656;40cm
2018-08-30;15,054931;50cm
2018-08-30;20,145643;60cm
2018-08-30;10,07007;70cm
2018-08-30;3,724566;80cm
2018-08-30;5,20775;90cm
2018-08-30;8,081097;100cm
2018-08-30;9,900822;110cm
2018-08-30;10,587114;120cm
2018-08-30;12,034047;130cm
2018-08-30;10,517364;140cm
2018-08-30;9,968323;150cm
2018-08-30;10,002174;160cm
2018-09-06;19,181591;10cm
2018-09-06;19,32468;20cm
2018-09-06;22,606934;30cm
2018-09-06;18,056055;40cm
2018-09-06;15,478727;50cm
2018-09-06;20,587183;60cm
2018-09-06;15,951893;70cm
2018-09-06;18,241261;80cm
2018-09-06;20,341309;90cm
2018-09-06;19,229225;100cm
2018-09-06;14,266496;110cm
2018-09-06;10,868568;120cm
