Chrm	SV_start	SV_end	ID	size	strand	type	ref_gap_size	query_gap_size	query_Chrm	query_strand	method	query_SV_start	query_SV_end
Chromosome01	8917961	8917961	Assemblytics_w_1	70	+	Insertion	0	70	Chromosome01_Phase0	+	within_alignment	14888006	14888076
Chromosome01	9589606	9589606	Assemblytics_w_2	59	+	Insertion	0	59	Chromosome01_Phase0	+	within_alignment	11436696	11436755
Chromosome01	2260503	2260503	Assemblytics_w_3	51	+	Insertion	0	51	Chromosome01_Phase0	+	within_alignment	3058395	3058446
Chromosome01	20181568	20181620	Assemblytics_w_4	52	+	Deletion	52	0	Chromosome01_Phase0	+	within_alignment	24434604	24434604
Chromosome01	13970321	13970321	Assemblytics_w_5	67	+	Insertion	0	67	Chromosome01_Phase0	+	within_alignment	19428773	19428840
Chromosome01	27500208	27500278	Assemblytics_w_6	70	+	Deletion	70	0	Chromosome01_Phase0	+	within_alignment	32308148	32308148
Chromosome01	26883246	26883246	Assemblytics_w_7	78	+	Insertion	0	78	Chromosome01_Phase0	+	within_alignment	31713168	31713246
Chromosome01	30142023	30142073	Assemblytics_w_8	50	+	Deletion	50	0	Chromosome01_Phase0	+	within_alignment	35217845	35217845
Chromosome01	30253570	30253620	Assemblytics_w_9	50	+	Deletion	50	0	Chromosome01_Phase0	+	within_alignment	35321046	35321046
Chromosome01	30332728	30332785	Assemblytics_w_10	57	+	Deletion	57	0	Chromosome01_Phase0	+	within_alignment	35399218	35399218
Chromosome01	18397701	18397751	Assemblytics_w_11	50	+	Deletion	50	0	Chromosome01_Phase0	+	within_alignment	22675224	22675224
Chromosome01	28018539	28018621	Assemblytics_w_12	82	+	Deletion	82	0	Chromosome01_Phase0	+	within_alignment	32994916	32994916
Chromosome01	4793834	4793834	Assemblytics_w_13	51	+	Insertion	0	51	Chromosome01_Phase0	+	within_alignment	5838304	5838355
Chromosome01	17879013	17879095	Assemblytics_w_14	82	+	Deletion	82	0	Chromosome01_Phase0	+	within_alignment	21984570	21984570
Chromosome01	19648744	19648744	Assemblytics_w_15	59	+	Insertion	0	59	Chromosome01_Phase0	+	within_alignment	23940597	23940656
Chromosome01	19690541	19690541	Assemblytics_w_16	54	+	Insertion	0	54	Chromosome01_Phase0	+	within_alignment	23979454	23979508
Chromosome01	19954592	19954592	Assemblytics_w_17	54	+	Insertion	0	54	Chromosome01_Phase0	+	within_alignment	24215291	24215345
Chromosome01	5135354	5135410	Assemblytics_w_18	56	+	Deletion	56	0	Chromosome01_Phase0	+	within_alignment	6349421	6349421
Chromosome01	28956586	28956586	Assemblytics_w_19	76	+	Insertion	0	76	Chromosome01_Phase0	+	within_alignment	34019145	34019221
Chromosome01	28288637	28288637	Assemblytics_w_20	76	+	Insertion	0	76	Chromosome01_Phase0	+	within_alignment	33254411	33254487
Chromosome01	28412140	28412140	Assemblytics_w_21	67	+	Insertion	0	67	Chromosome01_Phase0	+	within_alignment	33388721	33388788
Chromosome01	28471238	28471238	Assemblytics_w_22	57	+	Insertion	0	57	Chromosome01_Phase0	+	within_alignment	33451220	33451277
Chromosome01	28487473	28487536	Assemblytics_w_23	63	+	Deletion	63	0	Chromosome01_Phase0	+	within_alignment	33467585	33467585
Chromosome01	28490575	28490631	Assemblytics_w_24	56	+	Deletion	56	0	Chromosome01_Phase0	+	within_alignment	33470622	33470622
Chromosome01	16998638	16998690	Assemblytics_w_25	52	+	Deletion	52	0	Chromosome01_Phase0	+	within_alignment	20721048	20721048
Chromosome01	29538445	29538518	Assemblytics_w_26	73	+	Deletion	73	0	Chromosome01_Phase0	+	within_alignment	34635608	34635608
Chromosome01	28669448	28669511	Assemblytics_w_27	63	+	Deletion	63	0	Chromosome01_Phase0	+	within_alignment	33650791	33650791
Chromosome01	28759047	28759110	Assemblytics_w_28	63	+	Deletion	63	0	Chromosome01_Phase0	+	within_alignment	33743798	33743798
Chromosome01	2981385	2981467	Assemblytics_w_29	82	+	Deletion	82	0	Chromosome01_Phase0	+	within_alignment	3915680	3915680
Chromosome01	2260503	2260503	Assemblytics_w_30	51	+	Insertion	0	51	Chromosome01_Phase0	+	within_alignment	2996350	2996401
Chromosome02	12274003	12274077	Assemblytics_w_31	74	+	Deletion	74	0	Chromosome02_Phase0	+	within_alignment	11658078	11658078
